rank,score,retrieval,x,y,yaw,pitch,hfov,mpp,road,center_road,boundary_edge,bad,gps_dist,gps_prior,yaw_prior,pitch_prior,hfov_prior,mpp_prior,camera_prior,shape,out
32,3.9328196547557246,0.1444004774093628,230,498,179.02543327530807,4.320110672606602,69.16369230072816,0.610824966427825,0.8251499533653259,0.8411957025527954,0.736724317073822,0.33460813760757446,0.0,1.0,0.9999933994963457,0.9438564527275838,0.9945507562259234,0.7867173883486825,0.9083748657673966,0.0,0.0
33,3.932528118630062,0.17184136807918549,230,498,178.82792149569912,4.772699694687386,66.55798149016674,0.5867120416620217,0.8140684366226196,0.835945725440979,0.7371554970741272,0.33988937735557556,0.0,1.0,0.99969789246365,0.9935626306153699,0.9115958566743422,0.8634191275382848,0.9228592049426657,0.0,0.0
34,3.932185202331543,0.1444004774093628,230,498,177.51382949306043,4.791425632322048,68.97288642659217,0.5855180479726168,0.8099941611289978,0.8411962389945984,0.7427552342414856,0.3312384784221649,0.0,1.0,0.9777142951002319,0.9945768503029171,0.9917919783694639,0.8668939707527902,0.9510875998083904,0.0,0.0
35,3.9318199112451913,0.1649695336818695,230,498,178.30807261727938,5.344105874647494,70.40398548622494,0.6095698845918573,0.8194047212600708,0.8425458669662476,0.7204216718673706,0.3240828216075897,0.0,1.0,0.9951265720066428,0.9853078913316617,0.9987257791262615,0.7909792168207834,0.9250042957595689,0.0,0.0
36,3.9317868262878095,0.1649695336818695,230,498,177.8090365898706,4.504321189188104,69.55796613638141,0.592359735236737,0.8070980906486511,0.8391965627670288,0.7423633933067322,0.3357258141040802,0.0,1.0,0.9856308296842425,0.969754642423597,0.9984746494020118,0.8465315338752477,0.9382536085669523,0.0,0.0
37,3.931707916862975,0.15643778443336487,230,498,179.04900140458335,4.321355709311974,70.58862928242725,0.6303328240137452,0.8261024951934814,0.84416663646698,0.7346025109291077,0.3279656171798706,0.0,1.0,0.9999754988955535,0.9440560315331594,0.9972967507503255,0.7176520693523258,0.8863349505452702,0.0,0.0
38,3.9313145297377563,0.1444004774093628,230,498,179.10301309347298,5.572646671502138,70.61439985885384,0.6015202929415571,0.8185214400291443,0.8320119976997375,0.7293186187744141,0.3260330855846405,0.0,1.0,0.9998917232355472,0.9598382231262026,0.9970552257336487,0.8176701308772361,0.9248545265790291,0.0,0.0
39,3.931302668415425,0.1444004774093628,230,498,178.70135077394642,4.38437166757965,67.36856863508865,0.6054521953978169,0.8191472291946411,0.841317355632782,0.7397187352180481,0.33214274048805237,0.0,1.0,0.9990902981092431,0.9537298912741571,0.9473400988190924,0.8047764574792974,0.9019488158575156,0.0,0.0
40,3.9302628545348877,0.14521673321723938,230,498,179.21540652329242,5.2423249519263955,68.46704079252824,0.5939194386015662,0.8163003325462341,0.829642117023468,0.7359241247177124,0.3381160497665405,0.0,1.0,0.9995266429843408,0.9926867004858357,0.9818084083098475,0.8417413978347974,0.9387455022101602,0.0,0.0
41,3.9302010830918244,0.1649695336818695,230,498,178.2640891806343,4.619781316676096,68.77245906728534,0.6238651457384002,0.8212019205093384,0.8454955816268921,0.7327244877815247,0.33073174953460693,0.0,1.0,0.9944890704378313,0.9820915165830237,0.9882967043285102,0.7410703974744225,0.9038195394619856,0.0,0.0
